Q. I Flaminio,41°55′34.7″N 12°28′09.72″E
Q. II Parioli,41°55′20.53″N 12°29′32.53″E
Q. III Pinciano,41°54′46.25″N 12°29′21.15″E
Q. IV Salario,41°54′50.14″N 12°30′01.77″E
Q. V Nomentano,41°54′54.22″N 12°31′04.68″E
Q. VI Tiburtino,41°54′03.93″N 12°31′36.96″E
Q. VII Prenestino-Labicano,41°53′06.72″N 12°32′17.16″E
Q. VIII Tuscolano,41°52′08.54″N 12°32′11.3″E
Q. IX Appio-Latino,41°52′24.24″N 12°30′58.68″E
Q. X Ostiense,41°51′49.14″N 12°28′44.08″E
Q. XI Portuense,41°51′18.86″N 12°27′10.44″E
Q. XII Gianicolense,41°52′22.28″N 12°26′38.32″E
Q. XIII Aurelio,41°53′48.12″N 12°26′27.96″E
Q. XIV Trionfale,41°55′23.54″N 12°26′16.56″E
Q. XV Della Vittoria,41°55′48.53″N 12°27′24.1″E
Q. XVI Monte Sacro,41°56′37.08″N 12°31′49.14″E
Q. XVII Trieste,41°55′33.35″N 12°30′48.21″E
Q. XVIII Tor di Quinto,41°56′42.67″N 12°28′37.14″E
Q. XIX Prenestino-Centocelle,41°53′02.8″N 12°34′00.98″E
Q. XX Ardeatino,41°50′41.28″N 12°30′12.24″E
Q. XXI Pietralata,41°54′55.37″N 12°33′20.12″E
Q. XXII Collatino,41°54′13.5″N 12°33′17.6″E
Q. XXIII Alessandrino,41°53′03.48″N 12°34′45.12″E
Q. XXIV Don Bosco,41°51′30.27″N 12°33′48.17″E
Q. XXV Appio Claudio,41°50′30.84″N 12°33′33.48″E
Q. XXVI Appio-Pignatelli,41°50′29.04″N 12°32′32.64″E
Q. XXVII Primavalle,41°55′32.81″N 12°24′57.95″E
Q. XXVIII Monte Sacro Alto,41°56′51.51″N 12°33′14.85″E
Q. XXIX Ponte Mammolo,41°56′15.59″N 12°33′57.64″E
Q. XXX San Basilio,41°56′45.88″N 12°34′51.87″E
Q. XXXI Giuliano-Dalmata,41°48′58.73″N 12°29′59.56″E
Q. XXXII Europa,41°49′52.63″N 12°28′10.83″E
Q. XXXIII Lido di Ostia Ponente,41°44′24.36″N 12°15′56.88″E
Q. XXXIV Lido di Ostia Levante,41°43′56.28″N 12°17′27.6″E
Q. XXXV Lido di Castel Fusano,41°43′01.2″N 12°19′12.36″E